#mapping_set_id: https://w3id.org/sssom/commons/mouse-human/mappings/mp_hp_mgi_lex.sssom.tsv
#mapping_set_title: All mappings of MP terms to HPO terms generated by MGI
#mapping_set_description: "Mappings created by Mouse Genome Informatics (MGI) by lexical matches between term and synonym labels. Lexical mappings are made by comparing the text of each label and calling a match whenever the labels are identical. Term label to term label matches are all skos:exactMatch. Term label to synonym label are made depending on the synonym type (eg. exact synonym = exactMatch). For narrow and broad synonyms the match type is identical to synonym type when the match is HP term label to MP synonym label but reversed when it is MP term label to HP synonym label. Synonym to synonym matches are made for exact synonyms to any other type of synonym the same as for term label to synonym matches. Non-exact to non-exact synonym matches are currently only made for HP narrow to MP narrow (this is a broadMatch). The other possible matches either had no examples or gave incorrect matches and thus were not included in the mappings. Matches were reviewed manually during the creation of the mapping pipeline but are not routinely manually reviewed. Pipeline was created in 2024 and matches are updated regularly."
#creator_id:
# - orcid:0000-0003-4606-0597
# - ror:021sy4w91
#license: https://creativecommons.org/licenses/by/4.0/
#object_source: obo:hp
#subject_source: obo:mp
#curie_map:
# HP: http://purl.obolibrary.org/obo/HP_
# MP: http://purl.obolibrary.org/obo/MP_
# skos: http://www.w3.org/2004/02/skos/core#
# orcid: https://orcid.org/
# ror: https://ror.org/
# wikidata: https://www.wikidata.org/wiki/
# obo: http://purl.obolibrary.org/obo/
# semapv: https://w3id.org/semapv/vocab/
object_id	object_label	predicate_id	confidence	subject_id	subject_label	mapping_justification	mapping_tool	mapping_date	object_match_field	subject_match_field	match_string
HP:3000038	Abnormal cricoid cartilage morphology	skos:exactMatch	1	MP:0002258	abnormal cricoid cartilage morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal cricoid cartilage morphology
HP:0031512	Abnormal cutaneous collagen fibril morphology	skos:exactMatch	1	MP:0008438	abnormal cutaneous collagen fibril morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal cutaneous collagen fibril morphology
HP:0025082	Abnormal cutaneous elastic fiber morphology	skos:exactMatch	1	MP:0008418	abnormal cutaneous elastic fiber morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal cutaneous elastic fiber morphology
HP:0003889	Abnormal deltoid tuberosity morphology	skos:exactMatch	1	MP:0004353	abnormal deltoid tuberosity morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal deltoid tuberosity morphology
HP:0006479	Abnormal dental pulp morphology	skos:exactMatch	1	MP:0013250	abnormal dental pulp morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal dental pulp morphology
HP:0010299	Abnormal dentin morphology	skos:exactMatch	1	MP:0002818	abnormal dentin morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal dentin morphology
HP:0011490	Abnormal Descemet membrane morphology	skos:exactMatch	1	MP:0004284	abnormal Descemet membrane morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal Descemet membrane morphology
HP:0031934	Abnormal descending aorta morphology	skos:exactMatch	1	MP:0009869	abnormal descending aorta morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal descending aorta morphology
HP:0010662	Abnormal diencephalon morphology	skos:exactMatch	1	MP:0000830	abnormal diencephalon morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal diencephalon morphology
HP:0025033	Abnormal digestive system morphology	skos:exactMatch	1	MP:0000462	abnormal digestive system morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal digestive system morphology
HP:0011297	Abnormal digit morphology	skos:exactMatch	1	MP:0002110	abnormal digit morphology	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal digit morphology
HP:0030082	Abnormal drinking behavior	skos:exactMatch	1	MP:0001422	abnormal drinking behavior	semapv:LexicalMatching	MGI_pipeline	2026-04-21	MP term label	HP term label	Abnormal drinking behavior
